District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Lakshadweep,17.9',Vaccine - Hepatitis B,5. Total Stock,600,NA,NA,NA,NA,400,NA,NA,NA,NA,310,NA,NA,NA,NA,210,NA,NA,NA,NA,40,NA,NA,NA,NA,20,NA,NA,NA,NA,1410,NA,NA,NA,NA,1590,NA,NA,NA,NA,1590,NA,NA,NA,NA,1460,NA,NA,NA,NA,1180,NA,NA,NA,NA,1080,NA,NA,NA,NA,9890,NA,NA,NA,NA
Lakshadweep,'17.10',Vaccine - Typhoid,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.10',Vaccine - Typhoid,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.10',Vaccine - Typhoid,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.10',Vaccine - Typhoid,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.10',Vaccine - Typhoid,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,'17.11',Vaccine - Vitamin K,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.11',Vaccine - Vitamin K,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.11',Vaccine - Vitamin K,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.11',Vaccine - Vitamin K,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.11',Vaccine - Vitamin K,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,'17.12',Rotavirus,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,1100,NA,NA,NA,NA,1100,NA,NA,NA,NA,1100,NA,NA,NA,NA,1000,NA,NA,NA,NA,975,NA,NA,NA,NA,1475,NA,NA,NA,NA,375,NA,NA,NA,NA,275,NA,NA,NA,NA,75,NA,NA,NA,NA,7575,NA,NA,NA,NA
Lakshadweep,17.12',Rotavirus,2. Stocks Received,0,NA,NA,NA,NA,100,NA,NA,NA,NA,1000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,500,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,3600,NA,NA,NA,NA
Lakshadweep,17.12',Rotavirus,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.12',Rotavirus,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,25,NA,NA,NA,NA,0,NA,NA,NA,NA,1100,NA,NA,NA,NA,100,NA,NA,NA,NA,200,NA,NA,NA,NA,0,NA,NA,NA,NA,1525,NA,NA,NA,NA
Lakshadweep,17.12',Rotavirus,5. Total Stock,0,NA,NA,NA,NA,100,NA,NA,NA,NA,1100,NA,NA,NA,NA,1100,NA,NA,NA,NA,1100,NA,NA,NA,NA,1000,NA,NA,NA,NA,975,NA,NA,NA,NA,1475,NA,NA,NA,NA,375,NA,NA,NA,NA,275,NA,NA,NA,NA,75,NA,NA,NA,NA,2075,NA,NA,NA,NA,9650,NA,NA,NA,NA
Lakshadweep,'17.13',Inactivated Polio Vaccine,1. Balance From Previous Month,50,NA,NA,NA,NA,550,NA,NA,NA,NA,275,NA,NA,NA,NA,175,NA,NA,NA,NA,1775,NA,NA,NA,NA,1300,NA,NA,NA,NA,1300,NA,NA,NA,NA,1100,NA,NA,NA,NA,1250,NA,NA,NA,NA,1100,NA,NA,NA,NA,500,NA,NA,NA,NA,300,NA,NA,NA,NA,9675,NA,NA,NA,NA
Lakshadweep,17.13',Inactivated Polio Vaccine,2. Stocks Received,1000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,400,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,12500,NA,NA,NA,NA,15900,NA,NA,NA,NA
Lakshadweep,17.13',Inactivated Polio Vaccine,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,17.13',Inactivated Polio Vaccine,4. Stock Distributed,500,NA,NA,NA,NA,275,NA,NA,NA,NA,100,NA,NA,NA,NA,400,NA,NA,NA,NA,475,NA,NA,NA,NA,0,NA,NA,NA,NA,200,NA,NA,NA,NA,250,NA,NA,NA,NA,150,NA,NA,NA,NA,600,NA,NA,NA,NA,200,NA,NA,NA,NA,50,NA,NA,NA,NA,3200,NA,NA,NA,NA
Lakshadweep,17.13',Inactivated Polio Vaccine,5. Total Stock,550,NA,NA,NA,NA,275,NA,NA,NA,NA,175,NA,NA,NA,NA,1775,NA,NA,NA,NA,1300,NA,NA,NA,NA,1300,NA,NA,NA,NA,1100,NA,NA,NA,NA,1250,NA,NA,NA,NA,1100,NA,NA,NA,NA,500,NA,NA,NA,NA,300,NA,NA,NA,NA,12750,NA,NA,NA,NA,22375,NA,NA,NA,NA
Lakshadweep,'17.14',Measles Rubella (MR),1. Balance From Previous Month,840,NA,NA,NA,NA,840,NA,NA,NA,NA,0,NA,NA,NA,NA,1200,NA,NA,NA,NA,860,NA,NA,NA,NA,390,NA,NA,NA,NA,380,NA,NA,NA,NA,70,NA,NA,NA,NA,400,NA,NA,NA,NA,4000,NA,NA,NA,NA,3250,NA,NA,NA,NA,2950,NA,NA,NA,NA,15180,NA,NA,NA,NA
Lakshadweep,17.14',Measles Rubella (MR),2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,500,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2500,NA,NA,NA,NA
Lakshadweep,17.14',Measles Rubella (MR),3. Unusable Stock,0,NA,NA,NA,NA,700,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,700,NA,NA,NA,NA
Lakshadweep,17.14',Measles Rubella (MR),4. Stock Distributed,0,NA,NA,NA,NA,140,NA,NA,NA,NA,800,NA,NA,NA,NA,340,NA,NA,NA,NA,470,NA,NA,NA,NA,10,NA,NA,NA,NA,310,NA,NA,NA,NA,170,NA,NA,NA,NA,400,NA,NA,NA,NA,750,NA,NA,NA,NA,300,NA,NA,NA,NA,50,NA,NA,NA,NA,3740,NA,NA,NA,NA
Lakshadweep,17.14',Measles Rubella (MR),5. Total Stock,840,NA,NA,NA,NA,700,NA,NA,NA,NA,1200,NA,NA,NA,NA,860,NA,NA,NA,NA,390,NA,NA,NA,NA,380,NA,NA,NA,NA,70,NA,NA,NA,NA,400,NA,NA,NA,NA,0,NA,NA,NA,NA,3250,NA,NA,NA,NA,2950,NA,NA,NA,NA,2900,NA,NA,NA,NA,13940,NA,NA,NA,NA
Lakshadweep,'18.1',IUD 380 A,1. Balance From Previous Month,400,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,3200,NA,NA,NA,NA
Lakshadweep,18.1',IUD 380 A,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.1',IUD 380 A,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.1',IUD 380 A,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.1',IUD 380 A,5. Total Stock,400,NA,NA,NA,NA,400,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,400,NA,NA,NA,NA,3200,NA,NA,NA,NA
Lakshadweep,'18.2',IUD 375 A,1. Balance From Previous Month,450,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,3600,NA,NA,NA,NA
Lakshadweep,18.2',IUD 375 A,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.2',IUD 375 A,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.2',IUD 375 A,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.2',IUD 375 A,5. Total Stock,450,NA,NA,NA,NA,450,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,450,NA,NA,NA,NA,3600,NA,NA,NA,NA
Lakshadweep,'18.3',Condoms,1. Balance From Previous Month,38880,NA,NA,NA,NA,38880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38880,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,281640,NA,NA,NA,NA
Lakshadweep,18.3',Condoms,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.3',Condoms,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.3',Condoms,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5880,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,7000,NA,NA,NA,NA,12880,NA,NA,NA,NA
Lakshadweep,18.3',Condoms,5. Total Stock,38880,NA,NA,NA,NA,38880,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,33000,NA,NA,NA,NA,26000,NA,NA,NA,NA,268760,NA,NA,NA,NA
Lakshadweep,'18.4',Oral Contraceptive,1. Balance From Previous Month,6000,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,42000,NA,NA,NA,NA
Lakshadweep,18.4',Oral Contraceptive,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.4',Oral Contraceptive,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.4',Oral Contraceptive,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.4',Oral Contraceptive,5. Total Stock,6000,NA,NA,NA,NA,6000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,42000,NA,NA,NA,NA
Lakshadweep,'18.5',Emergency Contraceptive Pills,1. Balance From Previous Month,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,21600,NA,NA,NA,NA
Lakshadweep,18.5',Emergency Contraceptive Pills,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.5',Emergency Contraceptive Pills,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.5',Emergency Contraceptive Pills,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.5',Emergency Contraceptive Pills,5. Total Stock,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,2700,NA,NA,NA,NA,21600,NA,NA,NA,NA
Lakshadweep,'18.6',Centchroman weekly pills,1. Balance From Previous Month,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,32000,NA,NA,NA,NA
Lakshadweep,18.6',Centchroman weekly pills,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.6',Centchroman weekly pills,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.6',Centchroman weekly pills,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.6',Centchroman weekly pills,5. Total Stock,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,4000,NA,NA,NA,NA,32000,NA,NA,NA,NA
Lakshadweep,'18.7',Injectable Contraceptive MPA (Vials),1. Balance From Previous Month,128,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,384,NA,NA,NA,NA
Lakshadweep,18.7',Injectable Contraceptive MPA (Vials),2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.7',Injectable Contraceptive MPA (Vials),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lakshadweep,18.7',Injectable Contraceptive MPA (Vials),4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,128,NA,NA,NA,NA
Lakshadweep,18.7',Injectable Contraceptive MPA (Vials),5. Total Stock,128,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,256,NA,NA,NA,NA
